time,x,y,z
0,14,6,-85
0.1,15,18,-86
0.2,7,45,-82
0.3,5,32,-90
0.4,-1,35,-77
0.5,9,35,-86
0.6,5,34,-80
0.7,1,33,-85
0.8,2,37,-85
0.9,1,40,-82
1,1,38,-83
1.1,4,46,-83
1.2,5,39,-78
1.3,0,38,-86
1.4,-13,44,-90
1.5,-29,60,-62
1.6,-40,32,-60
1.7,-27,50,-85
1.8,-30,40,-95
1.9,-16,39,-61
2,-11,48,-72
2.1,-16,34,-85
2.2,-25,22,-97
2.3,-16,14,-86
2.4,-18,3,-90
2.5,-28,19,-80
2.6,-42,-26,-91
2.7,-8,-8,-72
2.8,-21,-4,-109
2.9,-38,6,-90
3,-16,20,-75
3.1,-63,-6,-59
3.2,-63,30,-61
3.3,-72,26,-47
3.4,-85,9,-25
3.5,-75,8,-23
3.6,-93,-12,-16
3.7,-90,-4,-18
3.8,-89,-4,-14
3.9,-89,-2,-3
4,-93,-1,-7
4.1,-90,1,-11
4.2,-90,1,-15
4.3,-90,3,-14
4.4,-90,2,-16
4.5,-90,1,-10
4.6,-93,1,-14
4.7,-88,1,-12
4.8,-90,1,-15
4.9,-90,1,-14
5,-87,8,-17
5.1,-90,3,-16
5.2,-89,4,-13
5.3,-88,5,-17
5.4,-88,0,-12
5.5,-86,1,-11
5.6,-85,2,-5
5.7,-90,-2,-1
5.8,-90,0,8
5.9,-87,2,15
6,-88,2,26
6.1,-82,3,34
6.2,-80,2,44
6.3,-79,2,47
6.4,-77,1,48
6.5,-76,0,48
6.6,-75,-1,50
6.7,-78,1,49
6.8,-76,1,48
6.9,-77,1,47
7,-79,1,47
7.1,-76,1,47
7.2,-78,1,48
7.3,-78,1,47
7.4,-79,2,46
7.5,-79,1,43
7.6,-80,1,45
7.7,-80,2,44
7.8,-80,2,43
7.9,-81,3,41
8,-85,2,45
8.1,-85,1,37
8.2,-86,4,30
8.3,-88,7,5
8.4,-84,6,-10
8.5,-84,5,-23
8.6,-81,1,-37
8.7,-77,5,-46
8.8,-69,8,-57
8.9,-70,16,-63
9,-67,18,-50
9.1,-69,15,-52
9.2,-73,15,-50
9.3,-78,35,-57
9.4,-69,5,-74
9.5,-59,17,-65
9.6,-77,26,-72
9.7,-8,0,-82
9.8,0,5,-48
9.9,-6,-6,-75
10,-58,-6,-109
10.1,-34,37,-113
10.2,17,-2,-70
10.3,2,6,-90
10.4,-16,1,-88
10.5,-6,18,-102
10.6,-16,28,-80
10.7,-4,35,-98
10.8,18,16,-104
10.9,21,44,-85
11,14,58,-46
11.1,67,21,-80
11.2,67,53,-88
11.3,55,13,-87
11.4,44,-1,-75
11.5,39,-22,-85
11.6,29,17,-82
11.7,43,5,-80
11.8,63,-14,-76
11.9,63,-18,-51
12,55,-11,-51
12.1,96,-1,-46
12.2,94,26,-40
12.3,76,11,-16
12.4,89,1,5
12.5,87,1,36
12.6,83,-9,31
12.7,90,-7,15
12.8,91,3,-6
12.9,94,0,-6
13,87,1,-8
13.1,94,2,-17
13.2,86,6,-27
13.3,86,10,-27
13.4,87,8,-23
13.5,88,9,-21
13.6,87,7,-23
13.7,88,8,-24
13.8,87,7,-23
13.9,86,8,-23
14,88,8,-22
14.1,88,8,-20
14.2,90,8,-23
14.3,87,9,-23
14.4,87,9,-23
14.5,87,8,-23
14.6,88,7,-22
14.7,87,9,-23
14.8,88,8,-22
14.9,87,7,-19
15,90,8,-16
15.1,89,5,-11
15.2,90,7,-6
15.3,90,6,-5
15.4,89,4,-11
15.5,88,6,1
15.6,90,7,8
15.7,91,-13,22
15.8,71,-4,23
15.9,74,-7,24
16,88,-16,52
16.1,77,-16,53
16.2,78,-13,46
16.3,74,-9,44
16.4,77,-16,48
16.5,79,-13,44
16.6,82,-11,36
16.7,86,-15,31
16.8,87,-7,23
16.9,94,-12,4
17,90,-12,-6
17.1,86,-6,-11
17.2,84,-4,-18
17.3,88,-6,-27
17.4,86,-1,-29
17.5,83,1,-25
17.6,88,0,-23
17.7,90,-1,-21
17.8,88,-1,-19
17.9,89,-1,-23
18,88,-2,-20
18.1,89,-1,-19
18.2,92,-1,-15
18.3,88,-6,-16
18.4,89,-5,-21
18.5,88,-3,-21
18.6,89,1,-40
18.7,75,-32,-80
18.8,39,-36,-62
18.9,5,3,-63
19,39,9,-86
19.1,24,54,-91
19.2,3,35,-63
19.3,3,46,-77
19.4,-10,58,-67
19.5,-4,58,-77
19.6,-5,52,-71
19.7,-12,59,-73
19.8,-7,50,-69
19.9,-31,54,-78
20,-25,35,-77
20.1,-16,20,-88
20.2,-10,1,-90
20.3,6,26,-83
20.4,-4,31,-85
20.5,-5,38,-83
20.6,-5,28,-85
20.7,5,32,-86
20.8,5,27,-90
20.9,1,27,-87
21,1,29,-87
21.1,5,29,-84
21.2,8,26,-80
21.3,3,24,-87
21.4,3,24,-88
21.5,3,22,-87
21.6,2,15,-90
21.7,1,11,-90
21.8,1,8,-90
21.9,1,10,-90
22,3,13,-90
22.1,2,15,-88
22.2,2,16,-90
22.3,2,13,-90
22.4,2,12,-90
22.5,3,15,-89
22.6,4,16,-90
22.7,4,17,-89
22.8,4,17,-89
22.9,3,17,-89
23,3,16,-86
23.1,2,19,-87
23.2,4,19,-90
23.3,5,16,-91
23.4,5,25,-89
23.5,3,22,-87
23.6,5,19,-90
23.7,3,22,-85
23.8,2,20,-90
23.9,3,22,-88
24,3,22,-88
24.1,3,22,-88
24.2,3,22,-87
24.3,4,23,-88
24.4,4,24,-87
24.5,4,24,-88
24.6,5,23,-87
24.7,5,24,-88
24.8,5,25,-89
24.9,5,27,-86
25,5,26,-86
25.1,3,23,-73
25.2,5,26,-87
25.3,5,26,-86
25.4,4,26,-86
25.5,5,23,-87
25.6,2,15,-91
25.7,-8,20,-94
25.8,-9,34,-85
25.9,-37,14,-79
26,-59,4,-73
26.1,-53,15,-74
26.2,-41,6,-80
26.3,-31,1,-87
26.4,-13,7,-89
26.5,-10,10,-92
26.6,3,1,-87
26.7,1,5,-94
26.8,-3,16,-93
26.9,-4,26,-83
27,-9,44,-89
27.1,-6,39,-91
27.2,-6,58,-80
27.3,3,60,-72
27.4,0,68,-48
27.5,-3,79,-34
27.6,-2,87,-33
27.7,-2,76,-27
27.8,-6,91,-21
27.9,2,89,-20
28,1,91,-16
28.1,5,91,-16
28.2,5,90,-15
28.3,4,92,-1
28.4,8,87,4
28.5,8,88,7
28.6,7,90,13
28.7,4,88,19
28.8,9,86,19
28.9,6,84,26
29,5,83,29
29.1,4,86,30
29.2,6,82,35
29.3,8,82,39
29.4,7,80,40
29.5,8,79,41
29.6,7,82,39
29.7,7,81,37
29.8,8,82,37
29.9,8,82,37
30,7,82,36
30.1,7,83,35
30.2,9,83,37
30.3,5,82,32
30.4,6,85,30
30.5,8,86,30
30.6,6,85,28
30.7,5,90,25
30.8,9,89,18
30.9,9,88,14
31,2,90,10
31.1,4,90,5
31.2,4,93,-6
31.3,2,89,-6
31.4,3,85,-17
31.5,2,90,-26
31.6,5,89,-32
31.7,4,74,-52
31.8,1,73,-56
31.9,8,64,-55
32,9,65,-59
32.1,8,58,-83
32.2,4,33,-102
32.3,5,28,-88
32.4,6,-1,-100
32.5,1,21,-75
32.6,1,32,-90
32.7,-6,31,-87
32.8,-1,29,-83
32.9,-9,18,-90
33,-10,12,-90
33.1,-17,7,-90
33.2,-19,17,-85
33.3,-37,16,-80
33.4,-49,15,-71
33.5,-55,17,-71
33.6,-58,14,-68
33.7,-59,16,-69
33.8,-52,15,-74
33.9,-46,15,-76
34,-49,16,-74
34.1,-47,20,-75
34.2,-48,22,-76
34.3,-42,26,-74
34.4,-34,29,-77
34.5,-32,28,-81
34.6,-25,25,-82
34.7,-18,26,-83
34.8,-8,20,-84
34.9,1,13,-79
35,-2,15,-94
35.1,4,19,-91
35.2,4,21,-92
35.3,23,30,-85
35.4,30,32,-76
35.5,64,55,-51
35.6,40,42,-46
35.7,51,63,-57
35.8,64,35,-83
35.9,45,17,-78
36,21,14,-80
36.1,4,-4,-90
36.2,-6,19,-87
36.3,-3,19,-85
36.4,10,18,-92
36.5,1,34,-87
36.6,-11,32,-83
36.7,-4,20,-90
36.8,1,24,-87
36.9,2,26,-88
37,1,26,-87
37.1,4,26,-85
37.2,5,33,-84
37.3,5,28,-82
37.4,5,32,-85
37.5,4,30,-85
37.6,2,32,-85
37.7,3,30,-86
37.8,3,30,-85
37.9,3,31,-85
38,1,31,-85
38.1,2,30,-86
38.2,3,31,-85
38.3,4,31,-86
38.4,3,32,-84
38.5,1,31,-84
38.6,5,32,-85
38.7,4,30,-84
38.8,4,26,-84
38.9,-2,27,-87
39,2,29,-90
39.1,2,1,-90
39.2,-7,4,-90
39.3,-16,4,-90
39.4,-13,1,-87
39.5,-8,8,-90
39.6,-4,14,-89
39.7,4,11,-90
39.8,7,12,-90
39.9,4,4,-87
40,2,10,-90
40.1,2,12,-89
40.2,5,13,-90
40.3,13,12,-92
40.4,8,10,-88
40.5,-5,13,-90
40.6,-15,23,-90
40.7,-16,11,-89
40.8,-8,18,-88
40.9,-15,15,-85
41,-16,24,-86
41.1,-14,16,-90
41.2,-6,5,-90
