time,x,y,z
0,5,39,-81
0.1,10,39,-81
0.2,15,41,-78
0.3,21,42,-79
0.4,18,43,-80
0.5,13,47,-84
0.6,8,37,-77
0.7,6,30,-52
0.8,-12,37,-80
0.9,-16,24,-92
1,-20,11,-104
1.1,-13,7,-81
1.2,-16,15,-89
1.3,-20,20,-90
1.4,-10,23,-81
1.5,2,21,-85
1.6,-7,14,-90
1.7,-9,19,-86
1.8,-5,18,-90
1.9,-6,20,-88
2,-15,27,-87
2.1,-6,22,-88
2.2,-4,18,-86
2.3,-2,13,-90
2.4,-4,16,-90
2.5,-7,8,-86
2.6,-16,17,-92
2.7,-6,-2,-90
2.8,-27,12,-86
2.9,-40,-6,-85
3,-42,4,-71
3.1,-42,-2,-97
3.2,-19,8,-92
3.3,-17,-26,-82
3.4,-7,9,-91
3.5,-13,15,-74
3.6,-23,2,-90
3.7,-48,15,-58
3.8,-67,5,-70
3.9,-91,25,-58
4,-59,15,-42
4.1,-90,-8,-55
4.2,-59,9,-64
4.3,-53,-8,-79
4.4,-67,4,-71
4.5,-60,-3,-64
4.6,-80,-12,-42
4.7,-76,-27,-44
4.8,-78,-13,-58
4.9,-67,1,-59
5,-61,-6,-65
5.1,-60,-7,-63
5.2,-66,-9,-62
5.3,-64,-8,-63
5.4,-62,-9,-62
5.5,-65,-7,-66
5.6,-63,-7,-67
5.7,-57,-11,-65
5.8,-60,-8,-70
5.9,-59,-8,-69
6,-57,-10,-69
6.1,-56,-11,-74
6.2,-58,-8,-64
6.3,-67,-7,-62
6.4,-70,-8,-57
6.5,-75,-10,-57
6.6,-75,-6,-48
6.7,-79,-6,-45
6.8,-81,-6,-37
6.9,-86,-5,-29
7,-82,-4,-28
7.1,-86,0,-27
7.2,-87,-1,-23
7.3,-88,1,-18
7.4,-86,3,-19
7.5,-90,3,-12
7.6,-91,10,-6
7.7,-88,13,-2
7.8,-88,17,2
7.9,-86,22,7
8,-90,23,13
8.1,-82,31,16
8.2,-85,35,18
8.3,-80,35,19
8.4,-80,36,25
8.5,-78,34,31
8.6,-75,40,32
8.7,-61,47,32
8.8,-64,54,36
8.9,-59,58,36
9,-51,60,34
9.1,-44,66,36
9.2,-45,69,43
9.3,-40,72,41
9.4,-38,68,31
9.5,-25,76,24
9.6,-33,82,20
9.7,-50,83,33
9.8,-50,72,35
9.9,-48,74,29
10,-41,79,28
10.1,-36,76,26
10.2,-31,77,29
10.3,-26,80,29
10.4,-19,79,31
10.5,-20,83,28
10.6,-16,80,28
10.7,-13,87,27
10.8,-9,84,32
10.9,-10,82,36
11,-8,80,30
11.1,-6,86,35
11.2,-3,84,38
11.3,-1,81,37
11.4,2,84,37
11.5,5,81,38
11.6,7,81,40
11.7,9,78,41
11.8,10,80,40
11.9,6,97,47
12,8,80,42
12.1,6,78,41
12.2,5,81,42
12.3,5,80,40
12.4,4,81,39
12.5,4,81,38
12.6,3,81,37
12.7,1,82,37
12.8,0,82,36
12.9,-6,83,37
13,-8,81,37
13.1,-13,82,37
13.2,-22,83,36
13.3,-22,80,35
13.4,-23,81,32
13.5,-21,83,31
13.6,-19,82,31
13.7,-14,82,29
13.8,-11,83,27
13.9,-9,79,26
14,-13,84,27
14.1,-30,77,24
14.2,-42,81,17
14.3,-55,64,1
14.4,-77,68,-14
14.5,-72,27,-40
14.6,-90,-55,-77
14.7,-44,-68,-82
14.8,-8,-19,-64
14.9,-24,-28,-86
15,-64,-19,-79
15.1,-53,-21,-67
15.2,-48,-20,-72
15.3,-48,-23,-79
15.4,-45,-22,-70
15.5,-52,-24,-69
15.6,-45,-26,-77
15.7,-46,-24,-71
15.8,-41,-33,-73
15.9,-48,-19,-70
16,-38,-37,-75
16.1,-34,-31,-78
16.2,-26,-33,-81
16.3,-26,-36,-80
16.4,-7,-43,-83
16.5,-15,-38,-78
16.6,-17,-36,-85
16.7,-13,-44,-88
16.8,-13,-43,-68
16.9,-14,-23,-84
17,-14,-8,-112
17.1,9,-19,-90
17.2,7,-4,-81
17.3,15,-21,-100
17.4,48,18,-56
17.5,73,6,-45
17.6,45,21,-51
17.7,45,4,-98
17.8,1,-3,-102
17.9,6,-8,-87
18,21,-24,-90
18.1,26,-16,-89
18.2,50,-62,-90
18.3,26,-23,-52
18.4,49,-42,-71
18.5,69,-2,-90
18.6,65,-18,-56
18.7,61,9,-7
18.8,61,-9,26
18.9,98,21,47
19,78,23,42
19.1,90,12,21
19.2,84,7,18
19.3,93,15,12
19.4,88,14,9
19.5,97,9,1
19.6,90,1,-9
19.7,96,25,-15
19.8,62,22,-26
19.9,79,17,4
20,92,11,11
20.1,99,27,26
20.2,84,18,26
20.3,85,6,24
20.4,84,9,31
20.5,101,-1,18
20.6,75,2,30
20.7,91,-17,11
20.8,81,-10,22
20.9,91,6,26
21,87,14,28
21.1,77,5,39
21.2,83,1,43
21.3,87,6,37
21.4,84,6,34
21.5,84,5,30
21.6,93,-6,16
21.7,85,-9,1
21.8,82,-8,-19
21.9,79,-14,-40
22,69,-15,-53
22.1,68,-9,-56
22.2,70,-13,-57
22.3,73,-15,-53
22.4,71,-12,-51
22.5,75,-15,-52
22.6,79,-15,-52
22.7,68,-20,-48
22.8,72,-18,-48
22.9,75,-16,-49
23,75,-9,-51
23.1,75,-16,-47
23.2,73,-11,-53
23.3,71,-13,-54
23.4,75,-10,-57
23.5,72,-1,-53
23.6,73,-3,-52
23.7,73,-3,-51
23.8,74,-13,-53
23.9,71,-4,-52
24,68,-12,-55
24.1,36,-16,-57
24.2,69,-14,-51
24.3,72,-16,-48
24.4,76,-17,-48
24.5,72,-17,-44
24.6,84,-10,-36
24.7,89,-16,-28
24.8,89,-13,-16
24.9,88,-10,-12
25,90,-19,-16
25.1,88,-20,-19
25.2,85,-22,-24
25.3,84,-26,-30
25.4,82,-20,-20
